名称	必选项	类型	描述	示例
cert	是	证书	HTTP 证书。该字段支持使用 APISIX Secret 资源，将值保存在 Secret Manager 中。	
key	是	私钥	HTTPS 证书私钥。该字段支持使用 APISIX Secret 资源，将值保存在 Secret Manager 中。	
certs	否	证书字符串数组	当你想给同一个域名配置多个证书时，除了第一个证书需要通过 cert 传递外，剩下的证书可以通过该参数传递上来。该字段支持使用 APISIX Secret 资源，将值保存在 Secret Manager 中。	
keys	否	私钥字符串数组	certs 对应的证书私钥，需要与 certs 一一对应。该字段支持使用 APISIX Secret 资源，将值保存在 Secret Manager 中。	
client.ca	否	证书	设置将用于客户端证书校验的 CA 证书。该特性需要 OpenResty 为 1.19 及以上版本。	
client.depth	否	辅助	设置客户端证书校验的深度，默认为 1。该特性需要 OpenResty 为 1.19 及以上版本。	
client.skip_mtls_uri_regex	否	PCRE 正则表达式数组	用来匹配请求的 URI，如果匹配，则该请求将绕过客户端证书的检查，也就是跳过 MTLS。	["/hello[0-9]+", "/foobar"]
snis	是	匹配规则	非空数组形式，可以匹配多个 SNI。	
labels	否	匹配规则	标识附加属性的键值对。	{"version":"v2","build":"16","env":"production"}
type	否	辅助	标识证书的类型，默认值为 server。	client 表示证书是客户端证书，APISIX 访问上游时使用；server 表示证书是服务端证书，APISIX 验证客户端请求时使用。
status	否	辅助	当设置为 1 时，启用此 SSL，默认值为 1。	1 表示启用，0 表示禁用
ssl_protocols	否	tls 协议字符串数组	用于控制服务器与客户端之间使用的 SSL/TLS 协议版本。更多的配置示例，请参考SSL 协议。	["TLSv1.1", "TLSv1.2", "TLSv1.3"]
